month,year,average_article_length(minutes)
January,2023,
February,2023,
March,2023,
April,2023,
May,2023,
June,2023,
July,2023,
August,2023,4.16
September,2023,4.66
October,2023,4.53
November,2023,4.4
December,2023,4.33
January,2024,5.6
February,2024,6
March,2024,5
April,2024,6.92
May,2024,6.06
June,2024,6.5
July,2024,6.9
August,2024,6.12
September,2024,6.87
October,2024,7.12
November,2024,5.19
December,2024,5.19
January,2025,5.94
February,2025,6.13
March,2025,6.33
April,2025,
May,2025,
June,2025,
July,2025,
August,2025,
September,2025,
October,2025,
November,2025,
December,2025,
