year,month,earnings,followers,follower_gain(change),email_subscribers,views,reads,number_articles,avg_earnings_per_article,avg_read_ratio,average_article_length(minutes)
2023,January,,,,,,,,,,
2023,February,,,,,,,,,,
2023,March,,,,,,,,,,
2023,April,,,,,,,,,,
2023,May,,,,,,,,,,
2023,June,,2.0,2.0,,,,,,,
2023,July,,48.0,46.0,,122.0,60.0,4.0,,49.18,
2023,August,14.25,81.0,33.0,,181.0,83.0,11.0,1.3,45.86,4.16
2023,September,10.71,108.0,27.0,,146.0,80.0,13.0,0.82,54.79,4.66
2023,October,2.04,137.0,29.0,3.0,91.0,46.0,13.0,0.16,50.55,4.53
2023,November,15.48,178.0,41.0,3.0,387.0,258.0,11.0,1.41,66.67,4.4
2023,December,159.91,244.0,66.0,5.0,5300.0,4000.0,16.0,9.99,75.47,4.33
2024,January,103.26,309.0,65.0,3.0,4500.0,3200.0,15.0,6.88,71.11,5.6
2024,February,39.82,358.0,49.0,4.0,1200.0,863.0,10.0,3.98,71.92,6.0
2024,March,74.53,384.0,26.0,5.0,2700.0,1800.0,19.0,3.92,66.67,5.0
2024,April,206.51,472.0,88.0,9.0,6200.0,4200.0,15.0,13.77,67.74,6.92
2024,May,152.47,539.0,67.0,11.0,3700.0,2600.0,15.0,10.16,70.27,6.06
2024,June,196.38,643.0,104.0,15.0,5300.0,3800.0,16.0,12.27,71.7,6.5
2024,July,319.06,841.0,198.0,19.0,11700.0,7800.0,21.0,15.19,66.67,6.9
2024,August,413.91,1048.0,207.0,21.0,13200.0,9000.0,24.0,17.25,68.18,6.12
2024,September,676.92,1388.0,340.0,27.0,22000.0,16200.0,25.0,27.08,73.64,6.87
2024,October,463.29,1610.0,230.0,30.0,18300.0,12600.0,24.0,19.3,68.85,7.12
2024,November,435.48,1762.0,172.0,29.0,18600.0,13100.0,24.0,18.14,70.43,5.19
2024,December,298.96,1906.0,144.0,31.0,14300.0,9800.0,26.0,11.5,68.53,5.19
2025,January,273.17,1975.0,89.0,29.0,13300.0,9100.0,18.0,15.18,68.42,5.94
2025,February,418.94,2071.0,96.0,30.0,11700.0,8200.0,15.0,27.93,70.09,6.13
2025,March,,,,,,,,,,
2025,April,,,,,,,,,,
2025,May,,,,,,,,,,
2025,June,,,,,,,,,,
2025,July,,,,,,,,,,
2025,August,,,,,,,,,,
2025,September,,,,,,,,,,
2025,October,,,,,,,,,,
2025,November,,,,,,,,,,
2025,December,,,,,,,,,,
