,earnings,followers,follower_gain(change),email_subscribers,views,reads,number_articles,avg_earnings_per_article,avg_read_ratio
January,273.17,1975,89,29,13300,9100,18,15.176111111111112,68.42
February,418.94,2071,96,30,11700,8200,15,27.929333333333332,70.09
March,0.0,0,0,0,0,0,0,,
April,0.0,0,0,0,0,0,0,,
May,0.0,0,0,0,0,0,0,,
June,0.0,0,0,0,0,0,0,,
July,0.0,0,0,0,0,0,0,,
August,0.0,0,0,0,0,0,0,,
September,0.0,0,0,0,0,0,0,,
October,0.0,0,0,0,0,0,0,,
November,0.0,0,0,0,0,0,0,,
December,0.0,0,0,0,0,0,0,,
